home_page,2023-07-25 09:47:17.735674
to_list,2023-07-25 09:47:19.373136
active_list,2023-07-25 09:47:19.618847
222,2023-07-25 09:47:22.194140
222,2023-07-25 10:00:06.748545
222,2023-07-25 10:00:09.177906
222,2023-07-25 10:01:20.289674
active_list,2023-07-25 10:01:25.364918
118,2023-07-25 10:01:29.256389
118,2023-07-25 10:04:11.814770
118,2023-07-25 10:21:02.839507
active_list,2023-07-25 10:21:06.261654
active_list,2023-07-25 10:21:23.901509
146,2023-07-25 10:21:26.876048
active_list,2023-07-25 10:22:48.753646
active_list,2023-07-25 10:24:16.772931
183,2023-07-25 10:25:12.596831
active_list,2023-07-25 10:25:41.295834
136,2023-07-25 10:26:06.094550
136,2023-07-25 10:39:19.895421
136,2023-07-25 10:39:23.331062
136,2023-07-25 10:47:17.449236
136,2023-07-25 10:48:57.401745
136,2023-07-25 10:49:05.006248
136labelled,2023-07-25 10:49:05.207673
35,2023-07-25 10:49:05.244434
active_list,2023-07-25 10:49:18.744341
0,2023-07-25 10:49:20.738216
0,2023-07-25 10:49:57.353274
132,2023-07-25 10:49:59.531172
75,2023-07-25 10:50:01.101715
91,2023-07-25 10:50:03.113689
204,2023-07-25 10:50:04.101867
129,2023-07-25 10:50:04.971321
12,2023-07-25 10:50:19.201778
188,2023-07-25 10:50:20.595823
