homepage,2023-08-31 14:37:34.832426
start,2023-08-31 14:37:37.527794
selecting document to label,2023-08-31 14:37:37.691837
non_active_list,2023-08-31 14:37:37.716407
labelling document,2023-08-31 14:37:44.475445
537,2023-08-31 14:37:44.476284
labelling document,2023-08-31 14:37:52.275445
537,2023-08-31 14:37:52.275445
537finish,2023-08-31 14:37:52.358723
document labelled,2023-08-31 14:37:52.362584
labelling document,2023-08-31 14:37:52.460967
210,2023-08-31 14:37:52.461354
selecting document to label,2023-08-31 14:37:56.383998
non_active_list,2023-08-31 14:37:56.399864
viewing all documents for topic 13,2023-08-31 14:37:59.805734
labelling document,2023-08-31 14:38:02.322581
1683,2023-08-31 14:38:02.323258
labelling document,2023-08-31 14:38:06.790128
1683,2023-08-31 14:38:06.791593
1683finish,2023-08-31 14:38:07.020305
document labelled,2023-08-31 14:38:07.021034
labelling document,2023-08-31 14:38:07.056330
1988,2023-08-31 14:38:07.057179
selecting document to label,2023-08-31 14:38:09.590227
non_active_list,2023-08-31 14:38:09.604219
viewing all documents for topic 12,2023-08-31 14:38:12.717792
viewing labelled documents,2023-08-31 14:38:15.985057
relabelling document,2023-08-31 14:38:38.955665
537,2023-08-31 14:38:38.956569
viewing labelled documents,2023-08-31 14:38:41.997612
relabelling document,2023-08-31 14:38:46.981165
1683,2023-08-31 14:38:46.982407
selecting document to label,2023-08-31 14:38:54.887932
non_active_list,2023-08-31 14:38:54.910649
labelling document,2023-08-31 14:39:16.897404
2214,2023-08-31 14:39:16.898425
labelling document,2023-08-31 14:39:30.667570
2214,2023-08-31 14:39:30.668572
2214finish,2023-08-31 14:39:30.908342
document labelled,2023-08-31 14:39:30.909646
labelling document,2023-08-31 14:39:30.943025
370,2023-08-31 14:39:30.944073
viewing labelled documents,2023-08-31 14:39:53.979572
relabelling document,2023-08-31 14:39:55.910980
2214,2023-08-31 14:39:55.911981
relabelling document,2023-08-31 14:41:09.895270
2214,2023-08-31 14:41:09.896270
relabelling document,2023-08-31 14:41:10.912893
2214,2023-08-31 14:41:10.914368
relabelling document,2023-08-31 14:41:12.001202
2214,2023-08-31 14:41:12.002196
relabelling document,2023-08-31 14:41:20.489328
2214,2023-08-31 14:41:20.490290
relabelling document,2023-08-31 14:41:46.722234
2214,2023-08-31 14:41:46.722738
relabelling document,2023-08-31 14:42:10.894340
2214,2023-08-31 14:42:10.895341
