homepage,2023-11-01 15:20:50.135971
start,2023-11-01 15:21:37.416857
selecting documents to label,2023-11-01 15:21:37.431867
active_list,2023-11-01 15:21:37.435481
1609,2023-11-01 15:21:53.894128
labeling a document,2023-11-01 15:21:53.894379
565,2023-11-01 15:22:08.456853
labeling a document,2023-11-01 15:22:08.457263
565,2023-11-01 15:32:33.021596
labeling a document,2023-11-01 15:32:33.022277
565labelled,2023-11-01 15:32:33.047904
768,2023-11-01 15:32:33.067484
labeling a document,2023-11-01 15:32:33.067648
768,2023-11-01 15:33:02.565031
labeling a document,2023-11-01 15:33:02.565626
768labelled,2023-11-01 15:33:02.613782
0,2023-11-01 15:33:02.625347
labeling a document,2023-11-01 15:33:02.625482
0,2023-11-01 15:33:26.332710
labeling a document,2023-11-01 15:33:26.333323
0labelled,2023-11-01 15:33:26.381568
1,2023-11-01 15:33:26.395311
labeling a document,2023-11-01 15:33:26.395449
1,2023-11-01 15:33:44.000507
labeling a document,2023-11-01 15:33:44.000814
1labelled,2023-11-01 15:33:44.048132
5,2023-11-01 15:33:44.058163
labeling a document,2023-11-01 15:33:44.058299
viewing labelled documents,2023-11-01 15:33:57.251404
relabelling document,2023-11-01 15:35:41.919125
0,2023-11-01 15:35:41.919665
editing labels,2023-11-01 15:35:51.930951
0,2023-11-01 15:35:51.934954
labeling a document,2023-11-01 15:35:51.935067
viewing labelled documents,2023-11-01 15:35:58.276110
start,2023-11-01 15:36:10.994162
start,2023-11-15 07:16:50.686403
start,2023-11-15 07:17:44.764568
start,2023-11-15 16:55:05.351978
start,2023-11-16 02:53:27.075521
