homepage,2023-11-16 02:57:49.233650
start,2023-11-16 08:11:16.063480
selecting document to label,2023-11-16 08:11:16.101126
non_active_list,2023-11-16 08:11:16.107047
labelling document,2023-11-16 08:15:26.683921
1760,2023-11-16 08:15:26.684935
labelling document,2023-11-16 08:37:10.931978
1760,2023-11-16 08:37:10.932802
start,2023-11-16 09:31:24.145422
selecting document to label,2023-11-16 09:31:24.165342
non_active_list,2023-11-16 09:31:24.168476
selecting document to label,2023-11-16 09:31:43.604216
non_active_list,2023-11-16 09:31:43.611834
start,2023-11-16 09:45:36.622187
selecting document to label,2023-11-16 09:45:36.660981
non_active_list,2023-11-16 09:45:36.664888
selecting document to label,2023-11-16 09:47:07.733841
non_active_list,2023-11-16 09:47:07.739753
selecting document to label,2023-11-16 09:47:34.473896
non_active_list,2023-11-16 09:47:34.478087
selecting document to label,2023-11-16 09:48:08.927002
non_active_list,2023-11-16 09:48:08.933064
selecting document to label,2023-11-16 09:49:20.688592
non_active_list,2023-11-16 09:49:20.699542
selecting document to label,2023-11-16 09:50:08.793089
non_active_list,2023-11-16 09:50:08.798867
start,2023-11-16 11:01:42.104145
selecting document to label,2023-11-16 11:01:42.140077
non_active_list,2023-11-16 11:01:42.150326
